index,country_name
1,Bangwa
2,Wutthakat
3,Talat Phlu
4,Pho Nimit
5,Wongwian Yai
6,Krung Thon Buri
7,Saphan Taksin
8,Surasak
9,Suksa Witthaya
10,Chong Nonsi
11,Sala Daeng
12,Ratchadamri
13,Siam Silom
14,National Stadium
15,Bearing
16,Bang Na
17,Udom Suk
18,Punnawithi
19,Bang Chak
20,On Nut
21,Phra Khanong
22,Ekkamai
23,Thong Lo
24,Phrom Phong
25,Asok
26,Nana
27,Phloen Chit
28,Chit Lom
29,Siam Sukhumwit
30,Ratchathewi
31,Phaya Thai BTS
32,Victory Monument
33,Sanam Pao
34,Ari
35,Sena Ruam
36,Saphan Khwai
37,Mo Chit
38,Hua Lamphong
39,Sam Yan
40,Si Lom
41,Lumphini
42,Khlong Taei
43,Queen Sirikit National Convention Centre
44,Sukhumwit
45,Phetchaburi
46,Pha Ram 9
47,Thailand Cultural Centre
48,Huai Khwang
49,Sutthisan
50,Ratchadaphisek
51,Lat Phrao
52,Phahon Yothin
53,Chatuchak Park
54,Kamphaeng Phet
55,Bang Sue
56,Phaya Thai ARL
57,Ratchaprarop
58,Makkasan
59,Ramkhamhaeng
60,Hua Mak
61,Ban Thap Chang
62,Lat Krabang
63,Suvarnabhumi
